Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Find All Anagrams in a String;Given two strings s and p, return all start indices of p's anagrams in s.;"Input:
  s = ""cbaebabacd"", p = ""abc""
Output:
  [0,6]";Sliding Window + Counts;Maintain fixed-size window counts and compare to target counts.;"Use arrays of length 26; slide window by adding new char and removing old, compare via count of matches.";O(n);O(1);https://leetcode.com/problems/find-all-anagrams-in-a-string/;Strings, Sliding Window, Medium;"from typing import List
def findAnagrams(s: str, p: str) -> List[int]:
    if len(p) > len(s): return []
    need = [0]*26
    for ch in p: need[ord(ch)-97] += 1
    win = [0]*26
    res = []
    for i, ch in enumerate(s):
        win[ord(ch)-97] += 1
        if i >= len(p):
            win[ord(s[i-len(p)])-97] -= 1
        if win == need:
            res.append(i-len(p)+1)
    return res";
Find the Duplicate Number;Given an array nums containing n+1 integers where each integer is in [1, n] inclusive, there is exactly one duplicate number. Find the duplicate using O(1) extra space without modifying the array.;"Input:
  nums = [1,3,4,2,2]
Output:
  2";Floyd's Cycle Detection on Index Graph;"Treat nums as next pointers; find cycle entry.";"Phase 1: find intersection of slow and fast; Phase 2: move one pointer to start and step both until they meet at duplicate.";O(n);O(1);https://leetcode.com/problems/find-the-duplicate-number/;Cycle Detection, Array, Medium;"from typing import List
def findDuplicate(nums: List[int]) -> int:
    slow = fast = nums[0]
    while True:
        slow = nums[slow]
        fast = nums[nums[fast]]
        if slow == fast: break
    slow2 = nums[0]
    while slow != slow2:
        slow = nums[slow]
        slow2 = nums[slow2]
    return slow";
Merge K Sorted Arrays;Given k sorted arrays, merge them into one sorted array.;"Input:
  [[1,4,5],[1,3,4],[2,6]]
Output:
  [1,1,2,3,4,4,5,6]";Min-Heap (k-way merge);Push first elements and pop smallest while pushing next from same array.;Analogous to merging k lists but using array indices instead of nodes.;O(N log k);O(k);https://leetcode.com/problems/merge-k-sorted-lists/;Heap, Array, Hard;"import heapq
from typing import List
def mergeKArrays(arrs: List[List[int]]) -> List[int]:
    h = []
    res = []
    for i, arr in enumerate(arrs):
        if arr:
            heapq.heappush(h, (arr[0], i, 0))
    while h:
        val, i, j = heapq.heappop(h)
        res.append(val)
        if j+1 < len(arrs[i]):
            heapq.heappush(h, (arrs[i][j+1], i, j+1))
    return res";
Majority Element II;Given an integer array of size n, find all elements that appear more than ⌊n/3⌋ times.;"Input:
  [3,2,3]
Output:
  [3]";Boyer-Moore (two candidates);Track up to two candidates and counts, then verify.;"First pass to find potential candidates; second pass to confirm counts > n/3.";O(n);O(1);https://leetcode.com/problems/majority-element-ii/;Array, Voting, Medium;"from typing import List
def majorityElement(nums: List[int]) -> List[int]:
    c1 = c2 = None
    n1 = n2 = 0
    for x in nums:
        if x == c1: n1 += 1
        elif x == c2: n2 += 1
        elif n1 == 0: c1, n1 = x, 1
        elif n2 == 0: c2, n2 = x, 1
        else: n1 -= 1; n2 -= 1
    res = []
    for c in (c1, c2):
        if c is not None and nums.count(c) > len(nums)//3:
            if c not in res: res.append(c)
    return res";
Integer to Roman;Convert an integer to a Roman numeral.;"Input:
  num = 1994
Output:
  ""MCMXCIV""";Greedy with Value Map;Subtract highest possible symbol repeatedly.;Use arrays of values and symbols including subtractive pairs, building the string greedily.;O(1) (bounded);O(1);https://leetcode.com/problems/integer-to-roman/;Math, String, Medium;"def intToRoman(num: int) -> str:
    vals = [1000,900,500,400,100,90,50,40,10,9,5,4,1]
    syms = [""M"",""CM"",""D"",""CD"",""C"",""XC"",""L"",""XL"",""X"",""IX"",""V"",""IV"",""I""]
    res = []
    for v, s in zip(vals, syms):
        cnt, num = divmod(num, v)
        res.append(s*cnt)
    return ''.join(res)";
Roman to Integer;Convert a Roman numeral to an integer.;"Input:
  s = ""MCMXCIV""
Output:
  1994";Left-to-Right with Subtractive Rule;"If current value < next value, subtract; else add.";"Map symbols to values; sum with subtractive adjustment.";O(1);O(1);https://leetcode.com/problems/roman-to-integer/;Math, String, Easy;"def romanToInt(s: str) -> int:
    m = {'I':1,'V':5,'X':10,'L':50,'C':100,'D':500,'M':1000}
    res = 0
    for i, ch in enumerate(s):
        v = m[ch]
        if i+1 < len(s) and v < m[s[i+1]]:
            res -= v
        else:
            res += v
    return res";
Longest Palindromic Subsequence;Given a string s, find the length of the longest palindromic subsequence in s.;"Input:
  s = ""bbbab""
Output:
  4";DP on Intervals;dp[i][j] = dp[i+1][j-1] + 2 if s[i]==s[j] else max(dp[i+1][j], dp[i][j-1]).;"Fill table from shorter intervals to longer; return dp[0][n-1].";O(n^2);O(n^2);https://leetcode.com/problems/longest-palindromic-subsequence/;DP, String, Medium;"def longestPalindromeSubseq(s: str) -> int:
    n = len(s)
    dp = [[0]*n for _ in range(n)]
    for i in range(n-1, -1, -1):
        dp[i][i] = 1
        for j in range(i+1, n):
            if s[i] == s[j]:
                dp[i][j] = dp[i+1][j-1] + 2
            else:
                dp[i][j] = max(dp[i+1][j], dp[i][j-1])
    return dp[0][n-1]";
Edit Distance;Given two strings word1 and word2, return the minimum number of operations (insert, delete, replace) to convert word1 to word2.;"Input:
  word1 = ""horse"", word2 = ""ros""
Output:
  3";DP (Levenshtein);dp[i][j] = 1 + min(del, ins, rep) or carry dp[i-1][j-1] if equal.;"Use 2 rows rolling array to save space; initialize base cases for empty prefixes.";O(m*n);O(min(m,n));https://leetcode.com/problems/edit-distance/;DP, String, Hard;"def minDistance(a: str, b: str) -> int:
    m, n = len(a), len(b)
    if n > m:
        a, b, m, n = b, a, n, m
    prev = list(range(n+1))
    for i in range(1, m+1):
        cur = [i] + [0]*n
        for j in range(1, n+1):
            if a[i-1] == b[j-1]:
                cur[j] = prev[j-1]
            else:
                cur[j] = 1 + min(prev[j], cur[j-1], prev[j-1])
        prev = cur
    return prev[n]";
Minimum Path Sum;Given a grid filled with non-negative numbers, find a path from top-left to bottom-right minimizing the sum of all numbers along the path (moving only down or right).;"Input:
  [[1,3,1],[1,5,1],[4,2,1]]
Output:
  7";DP (1D);dp[j] = grid[i][j] + min(dp[j], dp[j-1]).;"Initialize first row cumulatively; iterate rows updating in place on the 1D DP array.";O(m*n);O(n);https://leetcode.com/problems/minimum-path-sum/;DP, Grid, Medium;"from typing import List
def minPathSum(grid: List[List[int]]) -> int:
    m, n = len(grid), len(grid[0])
    dp = [10**9]*n
    for i in range(m):
        for j in range(n):
            if i == 0 and j == 0:
                dp[j] = grid[i][j]
            elif i == 0:
                dp[j] = dp[j-1] + grid[i][j]
            elif j == 0:
                dp[j] = dp[j] + grid[i][j]
            else:
                dp[j] = min(dp[j], dp[j-1]) + grid[i][j]
    return dp[-1]";
Coin Change (DFS + Memo);"Given coins of different denominations and a total amount, return the fewest coins needed to make up that amount; return -1 if impossible. (Top-down memoized version)";"Input:
  coins = [1,2,5], amount = 11
Output:
  3";DFS + Memoization;"Recursive search with memo on remaining amount; try each coin and prune when impossible.";"Top-down often simpler to reason about; ensure memo stores -1 for impossible states to avoid recomputation.";O(amount * len(coins)) approx;O(amount);https://leetcode.com/problems/coin-change/;DP, Recursion, Medium;"from functools import lru_cache
from typing import List
def coinChange_topdown(coins: List[int], amount: int) -> int:
    @lru_cache(None)
    def dfs(rem):
        if rem == 0: return 0
        if rem < 0: return 10**9
        best = min(dfs(rem - c) + 1 for c in coins)
        return best
    ans = dfs(amount)
    return ans if ans < 10**9 else -1";
