Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Missing Number;Given an array nums containing n distinct numbers in the range [0, n], return the only number missing from the range.;"Input:
  nums = [3,0,1]
Output:
  2";Math (XOR or Sum);Use XOR of indices and values, or formula n*(n+1)/2 - sum(nums).;XOR approach avoids overflow and works in O(1) extra space.;O(n);O(1);https://leetcode.com/problems/missing-number/;Math, Bit Manipulation, Easy;"from typing import List
def missingNumber(nums: List[int]) -> int:
    x = 0
    for i, v in enumerate(nums):
        x ^= i ^ v
    return x ^ len(nums)";
Reverse Bits;Reverse bits of a given 32-bit unsigned integer.;"Input:
  n = 00000010100101000001111010011100
Output:
  00111001011110000010100101000000";Bit Manipulation;"Shift result left; add least significant bit; shift n right.";"Iterate 32 times, shifting result and n accordingly; return result.";O(1) (32 iterations);O(1);https://leetcode.com/problems/reverse-bits/;Bits, Easy;"def reverseBits(n: int) -> int:
    res = 0
    for _ in range(32):
        res = (res << 1) | (n & 1)
        n >>= 1
    return res";
Climbing Stairs;You are climbing a staircase. It takes n steps to reach the top. Each time you can climb 1 or 2 steps. In how many distinct ways can you climb to the top?;"Input:
  n = 5
Output:
  8";DP / Fibonacci;Iteratively compute fib(n) with two accumulators.;"Use prev2, prev1 rolling variables; add to get next and iterate n-1 times.";O(n);O(1);https://leetcode.com/problems/climbing-stairs/;DP, Easy;"def climbStairs(n: int) -> int:
    if n <= 2: 
        return n
    a, b = 1, 2
    for _ in range(3, n+1):
        a, b = b, a + b
    return b";
House Robber;Given an integer array nums representing money in houses along a street, return the maximum amount you can rob without robbing adjacent houses.;"Input:
  nums = [1,2,3,1]
Output:
  4";DP (rolling);dp[i]=max(dp[i-1], dp[i-2]+nums[i]).;"Use two variables: rob and skip; update per house to maintain best including/excluding current.";O(n);O(1);https://leetcode.com/problems/house-robber/;DP, Medium;"from typing import List
def rob(nums: List[int]) -> int:
    take = skip = 0
    for x in nums:
        take, skip = skip + x, max(skip, take)
    return max(take, skip)";
House Robber II;"Houses are arranged in a circle; first and last are adjacent. Compute maximum robbed amount without robbing adjacent houses.";"Input:
  nums = [2,3,2]
Output:
  3";DP on Two Cases;Max of robbing houses[0..n-2] and houses[1..n-1].;"Apply linear House Robber on two ranges and take maximum; handle small n separately.";O(n);O(1);https://leetcode.com/problems/house-robber-ii/;DP, Medium;"from typing import List
def rob2(nums: List[int]) -> int:
    if len(nums) == 1: return nums[0]
    def rob_line(arr):
        take = skip = 0
        for x in arr:
            take, skip = skip + x, max(skip, take)
        return max(take, skip)
    return max(rob_line(nums[:-1]), rob_line(nums[1:]))";
Coin Change;"Given coins of different denominations and a total amount, return the fewest coins needed to make up that amount; return -1 if impossible.";"Input:
  coins = [1,2,5], amount = 11
Output:
  3  # 5+5+1";DP (unbounded knapSack);Bottom-up dp[a] = min(dp[a], dp[a - c] + 1).;"Initialize dp with inf except dp[0]=0; iterate amounts and coins to compute minimal coins required.";O(amount * len(coins));O(amount);https://leetcode.com/problems/coin-change/;DP, Medium;"from math import inf
from typing import List
def coinChange(coins: List[int], amount: int) -> int:
    dp = [inf]*(amount+1)
    dp[0] = 0
    for a in range(1, amount+1):
        for c in coins:
            if a >= c and dp[a-c] != inf:
                dp[a] = min(dp[a], dp[a-c] + 1)
    return dp[amount] if dp[amount] != inf else -1";
Partition Equal Subset Sum;Given a non-empty array nums, determine if it can be partitioned into two subsets such that the sums of elements in both subsets are equal.;"Input:
  nums = [1,5,11,5]
Output:
  true";DP (subset sum);"Target sum is total//2; use bitset or boolean dp to see if achievable.";"Compute total; if odd return false. Use a boolean set/bitset DP to see if sum target is reachable.";O(n * target);O(target);https://leetcode.com/problems/partition-equal-subset-sum/;DP, Medium;"from typing import List
def canPartition(nums: List[int]) -> bool:
    s = sum(nums)
    if s % 2: return False
    target = s // 2
    bits = 1
    for x in nums:
        bits |= bits << x
    return (bits >> target) & 1 == 1";
Unique Paths;A robot is located at the top-left of an m x n grid and can only move down or right. Return the number of unique paths to the bottom-right.;"Input:
  m = 3, n = 7
Output:
  28";Combinatorics / DP;Answer is C(m+n-2, m-1) or DP grid.;Use multiplicative formula for combinations to avoid overflow, or fill DP with rolling row.;O(min(m,n)) (comb) / O(mn) (DP);O(1) (comb) / O(n) (DP);https://leetcode.com/problems/unique-paths/;DP, Math, Medium;"from math import comb
def uniquePaths(m: int, n: int) -> int:
    return comb(m+n-2, m-1)";
Longest Increasing Subsequence;Given an integer array nums, return the length of the longest strictly increasing subsequence.;"Input:
  nums = [10,9,2,5,3,7,101,18]
Output:
  4";DP + Binary Search (patience);"Maintain tails array; replace first >= x with x.";"Iterate numbers, binary-search position in tails to place x; length of tails is LIS length.";O(n log n);O(n);https://leetcode.com/problems/longest-increasing-subsequence/;DP, Binary Search, Medium;"from bisect import bisect_left
from typing import List
def lengthOfLIS(nums: List[int]) -> int:
    tails = []
    for x in nums:
        i = bisect_left(tails, x)
        if i == len(tails):
            tails.append(x)
        else:
            tails[i] = x
    return len(tails)";
Word Search;Given an m x n board and a word, return true if the word exists in the grid by sequentially adjacent cells (horizontally or vertically), without reusing a cell.;"Input:
  board = [[""A"",""B"",""C"",""E""],[""S"",""F"",""C"",""S""],[""A"",""D"",""E"",""E""]], word = ""ABCCED""
Output:
  true";Backtracking + DFS;"DFS from each cell matching first char; mark visited; backtrack on mismatch.";For each cell, recursively explore 4 directions if next letter matches, marking visited temporarily (e.g., set to '#') and restoring upon backtrack.;O(m*n*4^L);O(L) recursion;https://leetcode.com/problems/word-search/;Backtracking, DFS, Medium;"from typing import List
def exist(board: List[List[str]], word: str) -> bool:
    m, n = len(board), len(board[0])
    def dfs(i, j, k):
        if k == len(word): return True
        if i < 0 or i >= m or j < 0 or j >= n or board[i][j] != word[k]:
            return False
        tmp, board[i][j] = board[i][j], '#'
        ok = dfs(i+1,j,k+1) or dfs(i-1,j,k+1) or dfs(i,j+1,k+1) or dfs(i,j-1,k+1)
        board[i][j] = tmp
        return ok
    for i in range(m):
        for j in range(n):
            if dfs(i,j,0): return True
    return False";
