Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Decode Ways;Given a string s containing only digits, return the number of ways to decode it where 'A'->1, ..., 'Z'->26.;"Input:
  s = ""226""
Output:
  3";DP (linear);"dp[i]=ways for prefix i; handle single and valid two-digit mappings.";"Use two rolling vars; if s[i-1] != '0', add prev1; if 10<=two<=26, add prev2.";O(n);O(1);https://leetcode.com/problems/decode-ways/;dp string medium;"def numDecodings(s: str) -> int:
    if not s or s[0] == '0': return 0
    a, b = 1, 1  # dp[0], dp[1]
    for i in range(1, len(s)):
        cur = 0
        if s[i] != '0':
            cur += b
        two = int(s[i-1:i+1])
        if 10 <= two <= 26:
            cur += a
        a, b = b, cur
    return b";
Unique Paths II;"An obstacle and free space grid is given; return the number of unique paths from top-left to bottom-right moving only right or down.";"Input:
  obstacleGrid = [[0,0,0],[0,1,0],[0,0,0]]
Output:
  2";DP with Obstacles;"dp[j]+=dp[j-1] when cell is free; else dp[j]=0.";"Use a 1D DP row, initializing first cell considering obstacle; iterate rows and cols updating.";O(m*n);O(n);https://leetcode.com/problems/unique-paths-ii/;dp medium;"from typing import List
def uniquePathsWithObstacles(grid: List[List[int]]) -> int:
    m, n = len(grid), len(grid[0])
    dp = [0]*n
    dp[0] = 1 if grid[0][0] == 0 else 0
    for i in range(m):
        for j in range(n):
            if grid[i][j] == 1:
                dp[j] = 0
            elif j > 0:
                dp[j] += dp[j-1]
    return dp[-1]";
Jump Game II;Given an array of non-negative integers where each element represents the maximum jump length, return the minimum number of jumps to reach the last index.;"Input:
  nums = [2,3,1,1,4]
Output:
  2";Greedy BFS-layer;"Track current end and farthest reach; when i hits end, make a jump and reset end=farthest.";"Iterate i from 0..n-2 accumulating farthest; increment steps when crossing boundary.";O(n);O(1);https://leetcode.com/problems/jump-game-ii/;greedy array medium;"from typing import List
def jump(nums: List[int]) -> int:
    steps = end = far = 0
    for i in range(len(nums)-1):
        far = max(far, i + nums[i])
        if i == end:
            steps += 1
            end = far
    return steps";
Gas Station;"There are n gas stations arranged in a circle; gas[i] is the gas at station i and cost[i] is the cost to travel to i+1. Return the starting station index if you can travel around once, otherwise -1.";"Input:
  gas = [1,2,3,4,5], cost = [3,4,5,1,2]
Output:
  3";Greedy (reset when sum < 0);If total gas < total cost -> impossible. Else track current tank and reset start when negative.;"Single pass over stations; maintain total and curr; update start when curr < 0.";O(n);O(1);https://leetcode.com/problems/gas-station/;greedy array medium;"from typing import List
def canCompleteCircuit(gas: List[int], cost: List[int]) -> int:
    total = curr = start = 0
    for i, (g, c) in enumerate(zip(gas, cost)):
        total += g - c
        curr += g - c
        if curr < 0:
            start = i + 1
            curr = 0
    return start if total >= 0 else -1";
Insert Interval;Given a set of non-overlapping intervals sorted by start, insert a new interval and merge if necessary.;"Input:
  intervals = [[1,3],[6,9]], newInterval = [2,5]
Output:
  [[1,5],[6,9]]";Merge in One Pass;Add all before, merge overlaps, then add remaining.;"Iterate intervals: append before newInterval; while overlap, merge by extending; then append the rest.";O(n);O(n);https://leetcode.com/problems/insert-interval/;intervals array medium;"from typing import List
def insert(intervals: List[List[int]], newInterval: List[int]) -> List[List[int]]:
    res = []
    i, n = 0, len(intervals)
    s, e = newInterval
    while i < n and intervals[i][1] < s:
        res.append(intervals[i]); i += 1
    while i < n and intervals[i][0] <= e:
        s = min(s, intervals[i][0])
        e = max(e, intervals[i][1])
        i += 1
    res.append([s, e])
    while i < n:
        res.append(intervals[i]); i += 1
    return res";
Non-overlapping Intervals;Given a collection of intervals, find the minimum number of intervals you need to remove to make the rest non-overlapping.;"Input:
  intervals = [[1,2],[2,3],[3,4],[1,3]]
Output:
  1";Greedy by End Time;"Sort by end; count removals whenever overlap occurs (keep interval with earlier end).";"Track last_end; if current start < last_end, increment removals and keep min end.";O(n log n);O(1);https://leetcode.com/problems/non-overlapping-intervals/;greedy sorting medium;"from typing import List
def eraseOverlapIntervals(intervals: List[List[int]]) -> int:
    intervals.sort(key=lambda x: x[1])
    rem = 0
    last_end = float('-inf')
    for s, e in intervals:
        if s >= last_end:
            last_end = e
        else:
            rem += 1
    return rem";
Meeting Rooms II;Given an array of meeting time intervals consisting of start and end times, find the minimum number of conference rooms required.;"Input:
  intervals = [[0,30],[5,10],[15,20]]
Output:
  2";Min-Heap of End Times;"Sort by start; push end into heap; pop while earliest end ≤ current start.";Heap size after processing is the number of rooms needed.;O(n log n);O(n);https://leetcode.com/problems/meeting-rooms-ii/;heap intervals medium;"import heapq
from typing import List
def minMeetingRooms(intervals: List[List[int]]) -> int:
    intervals.sort()
    h = []
    for s, e in intervals:
        while h and h[0] <= s:
            heapq.heappop(h)
        heapq.heappush(h, e)
    return len(h)";
Merge Sorted Array;Given two sorted integer arrays nums1 and nums2, merge nums2 into nums1 as one sorted array in-place. nums1 has sufficient trailing space.;"Input:
  nums1 = [1,2,3,0,0,0], m = 3; nums2 = [2,5,6], n = 3
Output:
  [1,2,2,3,5,6]";Two Pointers from End;Fill nums1 from back comparing last elements.;"Set i=m-1, j=n-1, k=m+n-1; while j>=0, place larger of nums1[i], nums2[j] at k and move pointers.";O(m+n);O(1);https://leetcode.com/problems/merge-sorted-array/;two_pointers array easy;"from typing import List
def merge(nums1: List[int], m: int, nums2: List[int], n: int) -> None:
    i, j, k = m-1, n-1, m+n-1
    while j >= 0:
        if i >= 0 and nums1[i] > nums2[j]:
            nums1[k] = nums1[i]; i -= 1
        else:
            nums1[k] = nums2[j]; j -= 1
        k -= 1";
Valid Palindrome II;Given a string s, return true if it can be a palindrome after deleting at most one character.;"Input:
  s = ""abca""
Output:
  true";Two Pointers;On first mismatch, try skipping left or right once.;"Check helper(l+1,r) or helper(l,r-1) when mismatch occurs; helper checks palindrome normally.";O(n);O(1);https://leetcode.com/problems/valid-palindrome-ii/;two_pointers string easy;"def validPalindrome(s: str) -> bool:
    def is_pal(i, j):
        while i < j:
            if s[i] != s[j]: return False
            i += 1; j -= 1
        return True
    l, r = 0, len(s)-1
    while l < r:
        if s[l] != s[r]:
            return is_pal(l+1, r) or is_pal(l, r-1)
        l += 1; r -= 1
    return True";
Longest Common Prefix;Write a function to find the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string.;"Input:
  strs = [""flower"",""flow"",""flight""]
Output:
  ""fl""";Horizontal Scanning;Reduce prefix by comparing with each string until it matches the start.;"Initialize prefix=strs[0]; for each s in strs[1:], shrink while not s.startswith(prefix).";O(n * k);O(1);https://leetcode.com/problems/longest-common-prefix/;strings easy;"from typing import List
def longestCommonPrefix(strs: List[str]) -> str:
    if not strs: return """"
    pref = strs[0]
    for s in strs[1:]:
        while not s.startswith(pref):
            pref = pref[:-1]
            if not pref: return """"
    return pref";
