Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Longest Consecutive Sequence;Given an unsorted array of integers, find the length of the longest consecutive elements sequence.;"Input:
  nums = [100,4,200,1,3,2]
Output:
  4  # sequence [1,2,3,4]";Hash Set;"Start sequences at numbers without a predecessor; grow forward.";"Insert all into a set; for each x whose x-1 not in set, grow y=x while y+1 in set, tracking best length.";O(n);O(n);https://leetcode.com/problems/longest-consecutive-sequence/;Hash Set, Array, Medium;"from typing import List
def longestConsecutive(nums: List[int]) -> int:
    s = set(nums)
    best = 0
    for x in s:
        if x - 1 not in s:
            y = x
            while y in s:
                y += 1
            best = max(best, y - x)
    return best";
Subarray Sum Equals K;Given an array of integers and an integer k, return the total number of continuous subarrays whose sum equals to k.;"Input:
  nums = [1,1,1], k = 2
Output:
  2";Prefix Sum + Hash Map;"Count prefix sums; for each sum s, add count of (s-k) seen.";"Maintain a dict freq of prefix sums; initialize freq[0]=1; accumulate sum and increment answer by freq[sum-k].";O(n);O(n);https://leetcode.com/problems/subarray-sum-equals-k/;Prefix Sum, Hash Map, Medium;"from typing import List
from collections import defaultdict
def subarraySum(nums: List[int], k: int) -> int:
    freq = defaultdict(int); freq[0] = 1
    s = ans = 0
    for x in nums:
        s += x
        ans += freq[s - k]
        freq[s] += 1
    return ans";
Kth Smallest Element in a BST;Given the root of a binary search tree and an integer k, return the kth smallest value (1-indexed) of all the values of the nodes in the tree.;"Input:
  root = [3,1,4,null,2], k = 1
Output:
  1";Inorder Traversal;"Inorder traversal yields sorted order; stop at k.";"Iterative inorder using a stack; decrement k when visiting; return value when k hits zero.";O(h + k);O(h);https://leetcode.com/problems/kth-smallest-element-in-a-bst/;BST, Inorder, Medium;"from typing import Optional
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def kthSmallest(root: Optional[TreeNode], k: int) -> int:
    st = []
    cur = root
    while True:
        while cur:
            st.append(cur)
            cur = cur.left
        cur = st.pop()
        k -= 1
        if k == 0:
            return cur.val
        cur = cur.right";
Validate Binary Search Tree;Given the root of a binary tree, determine if it is a valid binary search tree (BST).;"Input:
  root = [2,1,3]
Output:
  true";DFS with Bounds;Recurse with valid (low, high) bounds for each node value.;"Node must satisfy low < val < high; recurse left with high=val and right with low=val.";O(n);O(h);https://leetcode.com/problems/validate-binary-search-tree/;BST, DFS, Medium;"from typing import Optional
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def isValidBST(root: Optional[TreeNode]) -> bool:
    def dfs(node, low, high):
        if not node: return True
        if not (low < node.val < high): return False
        return dfs(node.left, low, node.val) and dfs(node.right, node.val, high)
    return dfs(root, float('-inf'), float('inf'))";
Diameter of Binary Tree;Given the root of a binary tree, return the length of the diameter (the number of edges on the longest path between any two nodes).;"Input:
  root = [1,2,3,4,5]
Output:
  3  # path 4-2-1-3 or 5-2-1-3";DFS with Height;At each node, diameter through node = left_height + right_height.;"Return height to parent as 1 + max(left,right); update global best with sum of heights.";O(n);O(h);https://leetcode.com/problems/diameter-of-binary-tree/;Trees, DFS, Easy;"from typing import Optional
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def diameterOfBinaryTree(root: Optional[TreeNode]) -> int:
    best = 0
    def h(node):
        nonlocal best
        if not node: return 0
        l = h(node.left); r = h(node.right)
        best = max(best, l + r)
        return 1 + max(l, r)
    h(root)
    return best";
Balanced Binary Tree;Given a binary tree, determine if it is height-balanced (the height difference between left and right subtrees of every node is at most 1).;"Input:
  root = [3,9,20,null,null,15,7]
Output:
  true";DFS Returning Height or -1;"Return -1 if unbalanced; else return height.";"Postorder recursion computing heights; propagate failure early with sentinel -1.";O(n);O(h);https://leetcode.com/problems/balanced-binary-tree/;Trees, DFS, Easy;"from typing import Optional
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def isBalanced(root: Optional[TreeNode]) -> bool:
    def dfs(node):
        if not node: return 0
        l = dfs(node.left)
        if l == -1: return -1
        r = dfs(node.right)
        if r == -1: return -1
        if abs(l - r) > 1: return -1
        return 1 + max(l, r)
    return dfs(root) != -1";
Invert Binary Tree;Invert a binary tree by swapping the left and right children of every node.;"Input:
  root = [4,2,7,1,3,6,9]
Output:
  [4,7,2,9,6,3,1]";DFS/BFS;Swap children recursively or iteratively.;"Preorder swap left/right and recurse; or BFS queue swapping each node's children.";O(n);O(h);https://leetcode.com/problems/invert-binary-tree/;Trees, Easy;"from typing import Optional
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def invertTree(root: Optional[TreeNode]) -> Optional[TreeNode]:
    if not root: return None
    root.left, root.right = invertTree(root.right), invertTree(root.left)
    return root";
Implement Trie (Prefix Tree);Implement a Trie with insert, search, and startsWith methods for lowercase English letters.;"Operations:
  insert(""apple""), search(""apple"") -> True, search(""app"") -> False, startsWith(""app"") -> True";Trie (Array/Dict Node);"Each node has 26 children and end flag; traverse per character.";"Insert traverses/creates nodes; search checks end flag; startsWith checks reachability.";O(L) per op;O(total characters);https://leetcode.com/problems/implement-trie-prefix-tree/;Trie, Design, Medium;"class TrieNode:
    __slots__ = (""ch"", ""end"")
    def __init__(self):
        self.ch = {}
        self.end = False
class Trie:
    def __init__(self):
        self.root = TrieNode()
    def insert(self, word: str) -> None:
        node = self.root
        for c in word:
            node = node.ch.setdefault(c, TrieNode())
        node.end = True
    def search(self, word: str) -> bool:
        node = self.root
        for c in word:
            if c not in node.ch: 
                return False
            node = node.ch[c]
        return node.end
    def startsWith(self, prefix: str) -> bool:
        node = self.root
        for c in prefix:
            if c not in node.ch: 
                return False
            node = node.ch[c]
        return True";
Add and Search Word (Word Dictionary);Design a data structure that supports adding new words and searching for a string, where '.' can match any letter.;"Operations:
  addWord(""bad""), addWord(""dad""), addWord(""mad""), search(""pad"") -> False, search(""bad"") -> True, search("".ad"") -> True, search(""b.."") -> True";Trie + DFS for '.';DFS branching when encountering '.' wildcard.;"Store words in Trie; for search, when '.', try all children recursively; otherwise follow concrete edge.";O(L * 26^dots) worst;O(total characters);https://leetcode.com/problems/add-and-search-word-data-structure-design/;Trie, Backtracking, Medium;"class WordDictionary:
    def __init__(self):
        self.root = {}
        self.end = '#'
    def addWord(self, word: str) -> None:
        node = self.root
        for c in word:
            node = node.setdefault(c, {})
        node[self.end] = True
    def search(self, word: str) -> bool:
        def dfs(node, i):
            if i == len(word):
                return self.end in node
            c = word[i]
            if c == '.':
                return any(dfs(node[ch], i+1) for ch in node if ch != self.end)
            if c in node:
                return dfs(node[c], i+1)
            return False
        return dfs(self.root, 0)";
Time Based Key-Value Store;Design a time-based key-value data structure that can store multiple values for the same key at different timestamps and retrieve the value for a key at a certain timestamp.;"Operations:
  set(""foo"",""bar"",1), get(""foo"",1) -> ""bar"", get(""foo"",3) -> ""bar"", set(""foo"",""bar2"",4), get(""foo"",4) -> ""bar2""";Hash Map + Binary Search;"Store (timestamp,value) list per key; binary search for last <= query time.";"Append values with timestamps per key; for get, bisect on timestamp to find rightmost <= t and return its value if exists.";O(log n) per get;O(n);https://leetcode.com/problems/time-based-key-value-store/;Design, Binary Search, Medium;"from bisect import bisect_right
class TimeMap:
    def __init__(self):
        self.mp = {}
    def set(self, key: str, value: str, timestamp: int) -> None:
        self.mp.setdefault(key, []).append((timestamp, value))
    def get(self, key: str, timestamp: int) -> str:
        arr = self.mp.get(key, [])
        i = bisect_right(arr, (timestamp, chr(127))) - 1
        return arr[i][1] if i >= 0 else """"";
