Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Group Anagrams;Given an array of strings strs, group the anagrams together and return the grouped lists in any order.;"Input:
  strs = [""eat"",""tea"",""tan"",""ate"",""nat"",""bat""]
Output:
  [[""bat""],[""nat"",""tan""],[""ate"",""eat"",""tea""]] (order may vary)";Hash Map (signature);Map count-signature to list of originals.;"Use a 26-length tuple count as the key for each word and append to a dict list; return dict values.";O(n * k);O(n * k);https://leetcode.com/problems/group-anagrams/;strings hash_map medium;"from collections import defaultdict
from typing import List
def groupAnagrams(strs: List[str]) -> List[List[str]]:
    groups = defaultdict(list)
    for s in strs:
        cnt = [0]*26
        for ch in s:
            cnt[ord(ch)-97] += 1
        groups[tuple(cnt)].append(s)
    return list(groups.values())";
Top K Frequent Elements;Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order.;"Input:
  nums = [1,1,1,2,2,3], k = 2
Output:
  [1,2]";Counting + Bucket / Heap;"Count with Counter; use bucket sort or heap to get top-k.";"Compute frequencies; either bucket into lists by frequency (O(n)) and collect from high to low, or use a min-heap of size k.";O(n) average (bucket) / O(n log k) (heap);O(n);https://leetcode.com/problems/top-k-frequent-elements/;heap bucket medium;"from collections import Counter
from typing import List
def topKFrequent(nums: List[int], k: int) -> List[int]:
    freq = Counter(nums)
    buckets = [[] for _ in range(len(nums)+1)]
    for v, c in freq.items():
        buckets[c].append(v)
    res = []
    for c in range(len(buckets)-1, -1, -1):
        for v in buckets[c]:
            res.append(v)
            if len(res) == k:
                return res
    return res";
Valid Palindrome;Given a string s, return true if it is a palindrome, considering only alphanumeric characters and ignoring cases.;"Input:
  s = ""A man, a plan, a canal: Panama""
Output:
  true";Two Pointers;"Filter to alnum lowercased; compare with reverse or two-pointer check.";"Use two pointers from both ends advancing past non-alnum; compare lowercased characters.";O(n);O(1);https://leetcode.com/problems/valid-palindrome/;two_pointers string easy;"def isPalindrome(s: str) -> bool:
    import string
    l, r = 0, len(s)-1
    while l < r:
        while l < r and not s[l].isalnum(): l += 1
        while l < r and not s[r].isalnum(): r -= 1
        if s[l].lower() != s[r].lower():
            return False
        l += 1; r -= 1
    return True";
3Sum;Given an integer array nums, return all unique triplets [a,b,c] such that a + b + c = 0. Triplets must be unique.;"Input:
  nums = [-1,0,1,2,-1,-4]
Output:
  [[-1,-1,2],[-1,0,1]] (order may vary)";Sorting + Two Pointers;"Sort; fix i, two-pointer j/k skipping duplicates.";Sort ascending. For each i, two-pointer search j,k for -nums[i] while skipping duplicates to avoid repeated triplets.;O(n^2);O(1) extra (excluding output);https://leetcode.com/problems/3sum/;arrays two_pointers medium;"from typing import List
def threeSum(nums: List[int]) -> List[List[int]]:
    nums.sort()
    res = []
    n = len(nums)
    for i in range(n):
        if i and nums[i] == nums[i-1]: 
            continue
        l, r = i+1, n-1
        while l < r:
            s = nums[i] + nums[l] + nums[r]
            if s == 0:
                res.append([nums[i], nums[l], nums[r]])
                l += 1; r -= 1
                while l < r and nums[l] == nums[l-1]: l += 1
                while l < r and nums[r] == nums[r+1]: r -= 1
            elif s < 0:
                l += 1
            else:
                r -= 1
    return res";
Container With Most Water;Given n non-negative integers representing vertical lines on the x-axis, find two lines that, together with the x-axis, form a container that holds the most water.;"Input:
  height = [1,8,6,2,5,4,8,3,7]
Output:
  49";Two Pointers;Move the shorter side inward to try for a taller boundary.;"Use l,r pointers; at each step compute area and move the pointer at the shorter height inward to potentially increase area.";O(n);O(1);https://leetcode.com/problems/container-with-most-water/;two_pointers greedy medium;"from typing import List
def maxArea(height: List[int]) -> int:
    l, r = 0, len(height)-1
    best = 0
    while l < r:
        best = max(best, (r-l) * min(height[l], height[r]))
        if height[l] < height[r]:
            l += 1
        else:
            r -= 1
    return best";
Trapping Rain Water;Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.;"Input:
  height = [0,1,0,2,1,0,1,3,2,1,2,1]
Output:
  6";Two Pointers / Prefix Max;Maintain left_max/right_max and accumulate trapped water.;"Use two pointers from both ends; update left_max/right_max and add water where current bar is lower than the respective max.";O(n);O(1);https://leetcode.com/problems/trapping-rain-water/;two_pointers dp hard;"from typing import List
def trap(height: List[int]) -> int:
    l, r = 0, len(height)-1
    left_max = right_max = 0
    water = 0
    while l < r:
        if height[l] < height[r]:
            if height[l] >= left_max:
                left_max = height[l]
            else:
                water += left_max - height[l]
            l += 1
        else:
            if height[r] >= right_max:
                right_max = height[r]
            else:
                water += right_max - height[r]
            r -= 1
    return water";
Binary Search;"Given a sorted array of integers nums and a target value, return the index if found; otherwise return -1.";"Input:
  nums = [-1,0,3,5,9,12], target = 9
Output:
  4";Binary Search;Classic binary search with l,r and mid loop.;"Maintain l,r bounds; while l ≤ r, compute mid and compare; move bounds toward target until found or exhausted.";O(log n);O(1);https://leetcode.com/problems/binary-search/;binary_search easy;"from typing import List
def search_binary(nums: List[int], target: int) -> int:
    l, r = 0, len(nums)-1
    while l <= r:
        m = (l + r)//2
        if nums[m] == target:
            return m
        if nums[m] < target:
            l = m + 1
        else:
            r = m - 1
    return -1";
Find Minimum in Rotated Sorted Array;Given the rotated sorted array nums of unique elements, return the minimum element.;"Input:
  nums = [3,4,5,1,2]
Output:
  1";Binary Search (pivot);"Compare mid to right; move toward unsorted side.";"Binary search: if nums[m] > nums[r], min on right; else on left; shrink until l == r, which is the min.";O(log n);O(1);https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/;binary_search medium;"from typing import List
def findMin(nums: List[int]) -> int:
    l, r = 0, len(nums)-1
    while l < r:
        m = (l + r)//2
        if nums[m] > nums[r]:
            l = m + 1
        else:
            r = m
    return nums[l]";
Koko Eating Bananas;Given piles of bananas and h hours, return the minimum integer speed k such that Koko can eat all bananas within h hours.;"Input:
  piles = [3,6,7,11], h = 8
Output:
  4";Binary Search on Answer;"Binary search k; check total hours sum(ceil(p/k)) ≤ h.";"Search k in [1, max(piles)]. For a candidate k, compute hours needed; shrink range accordingly to find minimal feasible k.";O(n log max(p));O(1);https://leetcode.com/problems/koko-eating-bananas/;binary_search medium;"from math import ceil
from typing import List
def minEatingSpeed(piles: List[int], h: int) -> int:
    l, r = 1, max(piles)
    while l < r:
        k = (l + r)//2
        hours = sum((p + k - 1)//k for p in piles)
        if hours <= h:
            r = k
        else:
            l = k + 1
    return l";
Longest Substring Without Repeating Characters;Given a string s, find the length of the longest substring without repeating characters.;"Input:
  s = ""abcabcbb""
Output:
  3  # ""abc""";Sliding Window;"Extend right; move left past last seen index of duplicates.";"Maintain a dict last index for each char, expand right; when duplicate seen, set left = max(left, last[ch]+1); update best length.";O(n);O(min(n, charset));https://leetcode.com/problems/longest-substring-without-repeating-characters/;strings sliding_window medium;"def lengthOfLongestSubstring(s: str) -> int:
    last = {}
    left = best = 0
    for r, ch in enumerate(s):
        if ch in last and last[ch] >= left:
            left = last[ch] + 1
        last[ch] = r
        best = max(best, r - left + 1)
    return best";
