Problem Name,Description,Example,Algorithm,Short Solution,Solution,Time Complexity,Space Complexity,Link,Code,Comments
"Pow(x, n)",Compute x^n.,"(2,10)->1024",Fast power exponentiation by squaring.,Iterative: multiply when bit set.,Handle negative n by invert x.,O(log n),O(1),https://leetcode.com/problems/powx-n/,"def myPow(x,n):
    if n<0: x, n = 1/x, -n
    res=1
    while n:
        if n&1: res*=x
        x*=x; n//=2
    return res",
Group Anagrams,Group strings that are anagrams.,"[""eat"",""tea"",""tan"",""ate"",""nat"",""bat""] -> [[""eat"",""tea"",""ate""],[""tan"",""nat""],[""bat""]]",Hash by letter counts or sorted string.,Use tuple of counts as key.,Aggregate into dict list.,O(n*k),O(n*k),https://leetcode.com/problems/group-anagrams/,"from collections import defaultdict

def groupAnagrams(strs):
    m=defaultdict(list)
    for s in strs:
        cnt=[0]*26
        for c in s: cnt[ord(c)-97]+=1
        m[tuple(cnt)].append(s)
    return list(m.values())",
Multiply Strings,Multiply numeric strings.,"num1='123', num2='45' -> '5535'",Simulate grade-school multiplication.,Reverse and accumulate into array; carry propagation.,Strip leading zeros.,O(mn),O(m+n),https://leetcode.com/problems/multiply-strings/,"def multiply(a,b):
    m,n=len(a),len(b)
    res=[0]*(m+n)
    a=a[::-1]; b=b[::-1]
    for i,x in enumerate(a):
        for j,y in enumerate(b):
            res[i+j]+= (ord(x)-48)*(ord(y)-48)
            res[i+j+1]+=res[i+j]//10; res[i+j]%=10
    while len(res)>1 and res[-1]==0: res.pop()
    return ''.join(map(str,res[::-1]))",
Trapping Rain Water,Total trapped rain between bars.,"[0,1,0,2,1,0,1,3,2,1,2,1] -> 6",Two pointers with leftMax/rightMax.,Move the smaller side inward.,"Add water as max(0, min(maxL,maxR)-height[i]).",O(n),O(1),https://leetcode.com/problems/trapping-rain-water/,"def trap(h):
    l,r=0,len(h)-1; lm=rm=0; water=0
    while l<r:
        if h[l]<=h[r]:
            lm=max(lm,h[l]); water+=lm-h[l]; l+=1
        else:
            rm=max(rm,h[r]); water+=rm-h[r]; r-=1
    return water",
Find First and Last Position of Element in Sorted Array,Find start and end index of target in sorted array.,"nums=[5,7,7,8,8,10], target=8 -> [3,4]",Binary search left and right boundaries.,Lower_bound & upper_bound-1.,Two binary searches.,O(log n),O(1),https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,"def searchRange(a,t):
    def lb():
        l,r=0,len(a)
        while l<r:
            m=(l+r)//2
            if a[m]<t: l=m+1
            else: r=m
        return l
    def ub():
        l,r=0,len(a)
        while l<r:
            m=(l+r)//2
            if a[m]<=t: l=m+1
            else: r=m
        return l
    l=lb(); r=ub()-1
    return [-1,-1] if l>r or l==len(a) or a[l]!=t else [l,r]",
Search in Rotated Sorted Array,Search target in rotated sorted array with no duplicates.,"nums=[4,5,6,7,0,1,2], target=0 -> 4",Modified binary search choosing sorted half.,Check which half is sorted and move accordingly.,"Compare a[l],a[m],a[r].",O(log n),O(1),https://leetcode.com/problems/search-in-rotated-sorted-array/,"def search(a,t):
    l,r=0,len(a)-1
    while l<=r:
        m=(l+r)//2
        if a[m]==t: return m
        if a[l]<=a[m]:
            if a[l]<=t<a[m]: r=m-1
            else: l=m+1
        else:
            if a[m]<t<=a[r]: l=m+1
            else: r=m-1
    return -1",
Next Permutation,Transform to next lexicographical permutation.,"[1,2,3] -> [1,3,2]","Find decreasing suffix, swap pivot with next greater, reverse suffix.",Scan from right to find i where a[i]<a[i+1].,Swap a[i] with smallest > a[i] to right; reverse.,O(n),O(1),https://leetcode.com/problems/next-permutation/,"def nextPermutation(a):
    i=len(a)-2
    while i>=0 and a[i]>=a[i+1]: i-=1
    if i>=0:
        j=len(a)-1
        while a[j]<=a[i]: j-=1
        a[i],a[j]=a[j],a[i]
    a[i+1:]=reversed(a[i+1:])",
Max Consecutive Ones III,Longest subarray of 1s after flipping at most k zeros.,"a=[1,1,1,0,0,0,1,1,1,1,0], k=2 -> 6",Sliding window counting zeros.,"Expand right; while zeros>k, move left.",Track best length.,O(n),O(1),https://leetcode.com/problems/max-consecutive-ones-iii/,"def longestOnes(a,k):
    l=0; zeros=0; best=0
    for r,x in enumerate(a):
        zeros+= (x==0)
        while zeros>k:
            zeros -= (a[l]==0); l+=1
        best=max(best,r-l+1)
    return best",
Remove Duplicates from Sorted Array,Remove duplicates in-place and return new length.,"[1,1,2] -> len=2, [1,2,_]",Two pointers write index.,Write when new value appears.,Return write pointer.,O(n),O(1),https://leetcode.com/problems/remove-duplicates-from-sorted-array/,"def removeDuplicates(a):
    if not a: return 0
    w=1
    for i in range(1,len(a)):
        if a[i]!=a[i-1]: a[w]=a[i]; w+=1
    return w",
Merge k Sorted Lists,Merge k sorted linked lists.,k=3 lists -> merged list.,Min-heap of current heads or divide and conquer.,"Push (val,i,node) to heap; pop/push next.",Alternative: pairwise merge.,O(N log k),O(k),https://leetcode.com/problems/merge-k-sorted-lists/,"import heapq

def mergeKLists(lists):
    h=[]
    for i,node in enumerate(lists):
        if node: heapq.heappush(h,(node.val,i,node))
    dummy=ListNode(0); p=dummy
    while h:
        _,i,node=heapq.heappop(h); p.next=node; p=p.next
        if node.next: heapq.heappush(h,(node.next.val,i,node.next))
    return dummy.next",
Valid Parentheses,Check valid parentheses using stack.,s='()[]{}' -> True,Stack matching with map of closing->opening.,"Push opening, match on closing.",Return empty stack.,O(n),O(n),https://leetcode.com/problems/valid-parentheses/,"def isValid(s):
    st=[]; m={')':'(',']':'[','}':'{'}
    for c in s:
        if c in '([{': st.append(c)
        elif not st or st.pop()!=m[c]: return False
    return not st",
3Sum,All unique triplets that sum to zero.,"[-1,0,1,2,-1,-4] -> [[-1,-1,2],[-1,0,1]]",Sort and two-pointer sweep.,"Fix i, then l/r inward skipping duplicates.",Skip equal values for i and l/r.,O(n^2),O(1),https://leetcode.com/problems/3sum/,"def threeSum(a):
    a.sort(); res=[]
    for i in range(len(a)-2):
        if i and a[i]==a[i-1]: continue
        l,r=i+1,len(a)-1
        while l<r:
            s=a[i]+a[l]+a[r]
            if s<0: l+=1
            elif s>0: r-=1
            else:
                res.append([a[i],a[l],a[r]])
                l+=1
                while l<r and a[l]==a[l-1]: l+=1
    return res",
Longest Common Prefix,Longest common prefix among strings.,"[""flower"",""flow"",""flight""] -> ""fl""",Horizontal scan or sort & compare first/last.,Compare min and max after sorting.,Take common prefix of first and last.,O(nk),O(1),https://leetcode.com/problems/longest-common-prefix/,"def lcp(strs):
    if not strs: return ''
    s=sorted(strs); a,b=s[0],s[-1]
    i=0
    while i<len(a) and i<len(b) and a[i]==b[i]: i+=1
    return a[:i]",
Palindrome Number,Check if integer is palindrome without string conversion (optional).,121 -> True,Reverse half of the number.,Compare first half with reversed second.,Reject negatives and numbers ending with 0 except 0.,O(log10 n),O(1),https://leetcode.com/problems/palindrome-number/,"def isPalindrome(x):
    if x<0 or (x%10==0 and x!=0): return False
    rev=0
    while x>rev:
        rev=rev*10 + x%10
        x//=10
    return x==rev or x==rev//2",
String to Integer (atoi),Convert string to integer with overflow clamp.,s='  -42' -> -42,"Finite-state parse: skip spaces, sign, digits; clamp to 32-bit.",Accumulate result; check overflow every step.,Use 2^31 bounds.,O(n),O(1),https://leetcode.com/problems/string-to-integer-atoi/,"def myAtoi(s):
    i=0; n=len(s)
    while i<n and s[i]==' ': i+=1
    sign=1
    if i<n and s[i] in '+-': sign = 1 if s[i]== '+' else -1; i+=1
    res=0; INT_MAX=2**31-1; INT_MIN=-(2**31)
    while i<n and s[i].isdigit():
        d=ord(s[i])-48
        if res>INT_MAX//10 or (res==INT_MAX//10 and d>7):
            return INT_MAX if sign==1 else INT_MIN
        res=res*10+d; i+=1
    return sign*res",
Longest Palindromic Substring,Find longest palindromic substring.,babad -> bab,Expand around center (2n-1 centers).,Track best start/end.,Optionally Manacher for O(n).,O(n^2),O(1),https://leetcode.com/problems/longest-palindromic-substring/,"def longestPalindrome(s):
    def exp(l,r):
        while l>=0 and r<len(s) and s[l]==s[r]: l-=1; r+=1
        return l+1,r-1
    best=(0,0)
    for i in range(len(s)):
        for l,r in (exp(i,i), exp(i,i+1)):
            if r-l>best[1]-best[0]: best=(l,r)
    return s[best[0]:best[1]+1]",
Longest Substring Without Repeating Characters,Length of longest substring without repeating chars.,abcabcbb -> 3,Sliding window with last-seen index.,"Move left to max(left, last[c]+1).",Track best length.,O(n),O(Σ),https://leetcode.com/problems/longest-substring-without-repeating-characters/,"def lengthOfLongestSubstring(s):
    last={}; l=best=0
    for r,c in enumerate(s):
        if c in last and last[c]>=l: l=last[c]+1
        last[c]=r; best=max(best,r-l+1)
    return best",
Add Two Numbers,Add two numbers represented by reverse-order linked lists.,"[2,4,3] + [5,6,4] -> [7,0,8]",Simulate addition with carry.,Iterate while nodes or carry.,Build result list.,O(m+n),O(1) extra,https://leetcode.com/problems/add-two-numbers/,"def addTwoNumbers(l1,l2):
    carry=0; dummy=ListNode(0); p=dummy
    while l1 or l2 or carry:
        v=(l1.val if l1 else 0)+(l2.val if l2 else 0)+carry
        carry, d = divmod(v,10)
        p.next=ListNode(d); p=p.next
        l1=l1 and l1.next; l2=l2 and l2.next
    return dummy.next",
Two Sum,Find indices of two numbers summing to target.,"nums=[2,7,11,15], target=9 -> [0,1]",Hash map value->index.,"For each x, if target-x in map return pair.",Insert after check.,O(n),O(n),https://leetcode.com/problems/two-sum/,"def twoSum(a,t):
    m={}
    for i,x in enumerate(a):
        if t-x in m: return [m[t-x], i]
        m[x]=i",
